"patch_id,""area_ha"",""enn_m"""
277,54.4443851198759,0
14418,107.918028566661,0
17889,4285.49495666646,0
18291,77.2774758042962,0
19741,81.6462188154175,0
23649,78.3252459533317,0
32066,351.489322787422,0
32377,1368.80835392167,0
34348,3272.2589426356,0
36378,599.223765302701,0
36394,83.4701261416914,0
36822,282.577388729229,0
37885,1124.45006695359,0
38737,613.026809761839,0
39326,450.434427810853,0
39505,2886.6984832943,0
39925,157.154521797684,0
40281,849.542565587492,0
40976,467.65166265577,0
41524,94.7742688450947,0
42145,94.8421773338897,0
43145,1890.77839797962,0
48855,397.911216930696,0
49591,291.333548845197,0
50016,58.9443661302499,0
50279,67.1934069435226,0
50931,100.49085439203,0
50990,157.302245408046,0
51177,80.6973069337092,0
51521,112.497545011817,0
54071,2781.6869344202,0
55390,697.119115803653,0
55526,139.0198652027,0
58329,1237.92877530584,0
60827,234.188254876935,0
62509,685.129081328388,0
62568,2722.65654365313,0
63076,321.467056652738,0
66336,406.383318145899,0
67801,76.9622454089712,0
68220,358.304386072517,0
68290,935.980165238478,0
68462,83.2148327823754,0
71017,222.44889492579,0
71163,652.392600821992,0
71274,173.65505911873,0
71297,295.759351448034,0
71322,237.224862222608,0
71353,126.800352111661,0
71394,333.962976715978,0
71998,477.928572337133,0
72130,326.586527707555,0
72141,304.676102234813,0
72224,163.85302996414,0
74089,492.121798392522,0
74613,4606.91768852393,0
76132,241.582763270574,0
79294,191.259492667041,0
79514,86.3317258151769,0
79528,405.570031612969,0
79533,57.6552596006906,0
79676,282.374544439743,0
79716,1788.70477322521,0
80081,64.136502300796,0
80138,303.096350088368,0
80253,118.877756988889,0
81200,1131.43755158521,0
81658,2207.99449850445,0
82906,67.1252630575035,0
84297,1635.34078163679,0
84349,1117.17479741839,0
85231,2203.40278287274,0
86536,1824.2044696888,0
87151,643.18377079188,0
87543,576.135240973551,0
88733,449.841924471884,0
88924,1835.7278540393,0
88962,340.396084256382,0
88996,4698.70014069362,0
89159,90.2314195882857,0
89464,2877.35355127474,0
91399,115.422757709131,0
91481,1063.60008226366,0
91494,96.2575802039765,0
91737,1499.55168695413,0
91889,115.845133619505,0
92635,4880.96706154924,0
92935,6393.57673270056,0
93569,490.20816968902,0
97052,61.4303210122516,0
102090,424.32081245103,0
107280,290.310688863403,0
107611,740.308070108594,0
81698,52.3027488644622,8.00856931693852
83402,3222.9115976552,8.00856931861199
84609,56.0886312921355,8.00856931861199
15443,758.739243189661,8.00856931861927
26952,51.1995933933113,8.00856931861927
57420,1022.47055561334,8.00856931861927
21645,200.18723555364,8.00856931862654
24624,1096.80113533249,8.00856931862654
36829,62.9988660211091,8.00856931862654
37033,499.743631715221,8.00856931862654
42606,659.197316068773,8.00856931862654
46886,66.0080873202514,8.00856931862654
52166,218.11104997218,8.00856931862654
70422,965.722100061464,8.00856931862654
71486,73.7299724021036,8.00856931862654
74319,72.365843568706,8.00856931862654
84127,100.508600694142,8.00856931862654
86336,161.322147900673,8.00856931862654
86359,65.6857089134128,8.00856931862654
1407,119.643621871639,8.00856931880116
10924,178.194573703054,8.00856931880116
12663,78.6878031594084,8.00856931880116
16700,304.959975895743,8.00856931880116
17218,318.788858307744,8.00856931880116
28583,774.568176358378,8.00856931880116
33744,94.9931305709683,8.00856931880116
48357,92.5574585983302,8.00856931880116
48608,54.104134912269,8.00856931880116
52201,81.3975846397284,8.00856931880116
60856,822.227225819369,8.00856931880116
61014,59.596440954656,8.00856931880116
61704,500.751676807725,8.00856931880116
65591,319.570015516978,8.00856931880116
74890,272.10067828536,8.00856931880116
78919,215.243448110488,8.00856931880116
82735,135.733836851747,8.00856931880116
5347,349.653006087336,16.0171386357397
37425,456.86469009395,16.0171386357397
50062,52.097660123672,16.0171386357397
55027,991.192688744899,16.0171386357397
67004,268.877293244005,16.0171386357397
12112,132.873512742095,16.017138637224
41458,185.703637696937,16.0171386372385
46332,498.157639195275,16.0171386372385
49318,50.2350002609095,16.0171386372385
72984,251.88426255009,16.0171386372385
69233,71.1525695712216,16.0171386372458
92513,2951.26013197517,16.0171386372458
1637,141.286452476497,16.0171386372531
10116,1572.28866524251,16.0171386372531
11790,62.4639641253613,16.0171386372531
23492,220.058910656578,16.0171386372531
48922,82.1213820033777,16.0171386372531
49293,83.5660074291181,16.0171386372531
54189,223.625928599161,16.0171386372531
55263,510.20881789309,16.0171386372531
